,Interface,Access_VLAN,Active,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
0,lab-nxos-01[Ethernet1/19],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/19'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
1,lab-junos-01[ge-0/0/0],,True,[],,True,1000000000.0,False,,[],[],['ge-0/0/0'],OOB_Management,,[],,,,1500,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
2,lab-csr-01[GigabitEthernet3],,True,['192.168.30.2/30'],,True,1000000000.0,False,,[],[],['GigabitEthernet3'],To lab-junos-01.lab.dfjt.local - ge-0/0/1,,[],,,,1500,,,,192.168.30.2/30,192.168.30.0/30,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
3,lab-junos-01[ge-0/0/1],,True,[],,True,1000000000.0,False,,[],[],['ge-0/0/1'],,,[],,,,1500,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
4,lab-nxos-01[Ethernet1/60],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/60'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
5,lab-junos-01[ge-0/0/0.0],,True,['10.0.0.15/24'],,True,1000000000.0,False,,[],[],['ge-0/0/0.0'],OOB,,[],,,,1500,,,,10.0.0.15/24,10.0.0.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],trust
6,lab-nxos-01[mgmt0],,False,['10.0.0.14/24'],,True,1000000000.0,True,,[],[],['mgmt0'],OOB Management,,[],,,,1500,,,,10.0.0.14/24,10.0.0.0/24,False,False,False,False,,False,NONE,DOT1Q,management,[],
7,lab-nxos-01[Ethernet1/10],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/10'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
8,lab-nxos-01[Ethernet1/21],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/21'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
9,lab-nxos-01[Ethernet1/32],1,True,[],,True,1000000000.0,False,,[],[],['Ethernet1/32'],,,[],,,,1500,,,,,,False,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
